city,state,average_price,item_name,highest_price,item_id,lowest_price,data_points
Mansfield, TX,20,"Meal, Inexpensive Restaurant, Restaurants",20,1,20,2
Mansfield, TX,57,"Meal for 2 People, Mid-range Restaurant, Three-course, Restaurants",60,2,60,2
Mansfield, TX,4,"Cappuccino (regular), Restaurants",4,114,4,2
Mansfield, TX,6.5,"McMeal at McDonalds (or Equivalent Combo Meal), Restaurants",8,3,8,2
Mansfield, TX,3,"Domestic Beer (0.5 liter draught), Restaurants",3,4,3,2
Mansfield, TX,5.5,"Imported Beer (0.33 liter bottle), Restaurants",6,5,6,2
Mansfield, TX,2,"Coke/Pepsi (0.33 liter bottle), Restaurants",2,6,2,2
Mansfield, TX,1.65,"Water (0.33 liter bottle) , Restaurants",2,7,2,2
Mansfield, TX,4162.444444444444,"Average Monthly Net Salary (After Tax), Salaries And Financing",6446,105,6446,9
Ridley Park, PA,20,"Meal, Inexpensive Restaurant, Restaurants",,1,,1
Ridley Park, PA,80,"Meal for 2 People, Mid-range Restaurant, Three-course, Restaurants",,2,,1
Ridley Park, PA,4,"Cappuccino (regular), Restaurants",,114,,1
Ridley Park, PA,8,"McMeal at McDonalds (or Equivalent Combo Meal), Restaurants",,3,,1
Ridley Park, PA,4,"Domestic Beer (0.5 liter draught), Restaurants",,4,,1
Ridley Park, PA,5,"Imported Beer (0.33 liter bottle), Restaurants",,5,,1
Ridley Park, PA,1.5,"Coke/Pepsi (0.33 liter bottle), Restaurants",,6,,1
Ridley Park, PA,1.5,"Water (0.33 liter bottle) , Restaurants",,7,,1
Superior, WI,72.5,"1 Pair of Nike Running Shoes (Mid-Range), Clothing And Shoes",75,64,75,2
Superior, WI,9.995000000000001,"Meal, Inexpensive Restaurant, Restaurants",10,1,10,2
Superior, WI,32.5,"Meal for 2 People, Mid-range Restaurant, Three-course, Restaurants",35,2,35,2
Superior, WI,105,"1 Pair of Men Leather Business Shoes, Clothing And Shoes",150,66,150,2
Superior, WI,7.62,"McMeal at McDonalds (or Equivalent Combo Meal), Restaurants",8,3,8,2
Superior, WI,1.75,"Domestic Beer (0.5 liter draught), Restaurants",2,4,2,2
Superior, WI,3.125,"Imported Beer (0.33 liter bottle), Restaurants",3.5,5,3.5,2
Superior, WI,1.795,"Coke/Pepsi (0.33 liter bottle), Restaurants",2.09,6,2.09,2
Superior, WI,0.995,"Water (0.33 liter bottle) , Restaurants",1,7,1,2
Superior, WI,0.7700615334377175,"Milk (regular), (1 liter), Markets",0.7898744373855148,8,0.7898744373855148,2
Superior, WI,1.1408922068067415,"Loaf of Fresh White Bread (500g), Markets",1.190496215798339,9,1.190496215798339,2
Superior, WI,0.98,"Eggs (regular) (12), Markets",0.99,11,0.99,2
Superior, WI,5.511556554621939,"Local Cheese (1kg), Markets",6.613867865546327,12,6.613867865546327,2
Superior, WI,1.495,"Water (1.5 liter bottle), Markets",2,13,2,2
Superior, WI,25,"Bottle of Wine (Mid-Range), Markets",30,14,30,2
Superior, WI,27500,"Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car), Transportation",40000,206,40000,2
Superior, WI,2,"Domestic Beer (0.5 liter bottle), Markets",,15,,1
Superior, WI,4.375,"Imported Beer (0.33 liter bottle), Markets",4.75,16,4.75,2
Superior, WI,8.185,"Cigarettes 20 Pack (Marlboro), Markets",9,17,9,2
Superior, WI,8.796444261176614,"Chicken Breasts (Boneless, Skinless), (1kg), Markets",8.818490487395103,19,8.818490487395103,2
Superior, WI,30,"Monthly Pass (Regular Price), Transportation",,20,,1
Superior, WI,0.710622821594326,"Gasoline (1 liter), Transportation",0.7872327168591418,24,0.7872327168591418,2
Superior, WI,24000,"Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car), Transportation",30000,25,30000,2
Superior, WI,905,"Apartment (1 bedroom) in City Centre, Rent Per Month",910,26,910,2
Superior, WI,937.5,"Apartment (1 bedroom) Outside of Centre, Rent Per Month",1100,27,1100,2
Superior, WI,1325,"Apartment (3 bedrooms) in City Centre, Rent Per Month",1500,28,1500,2
Superior, WI,1137.5,"Apartment (3 bedrooms) Outside of Centre, Rent Per Month",1300,29,1300,2
Superior, WI,215,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment, Utilities (Monthly)",230,30,230,2
Superior, WI,130.66,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL), Utilities (Monthly)",201.32,33,201.32,2
Superior, WI,45,"Fitness Club, Monthly Fee for 1 Adult, Sports And Leisure",,40,,1
Superior, WI,1300,"Average Monthly Net Salary (After Tax), Salaries And Financing",,105,,1
Superior, WI,3.85,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate, Salaries And Financing",,106,,1
Superior, WI,2.5,"Taxi Start (Normal Tariff), Transportation",,107,,1
Superior, WI,20,"Cinema, International Release, 1 Seat, Sports And Leisure",,44,,1
Superior, WI,1.7087707786526682,"Taxi 1km (Normal Tariff), Transportation",,108,,1
Superior, WI,4.387199017479063,"Apples (1kg), Markets",4.409245243697551,110,4.409245243697551,2
Superior, WI,3.5714886473950163,"Oranges (1kg), Markets",4.409245243697551,111,4.409245243697551,2
Superior, WI,3.340003272100895,"Potato (1kg), Markets",4.409245243697551,112,4.409245243697551,2
